Concept,SuperClass,DisjointClass,Requirement,Label,Definition,ISO 19111,IGN 2019,Proj4RDF,GeoSPARQL,PROJJSON,OGCJSON,Core Class?,Who?,Definition IGN,Definition ISO
geosrs:CoordinateOperation,geosrs:OperationMethod,,Coordinate operation methods,Coordinate Operation,"Mathematical operation on coordinates, based on one-to-one relationship, that changes coordinates from one coordinate reference system to another. Cf. ISO 19111:2007:2007-07, part 11.1, table 42 and annex B.4.",iso19111:CoordinateOperation,ign:CoordinateOperation,,,,,Core Ontology,suggested by Ghislain,"Mathematical operation on coordinates, based on one-to-one relationship, that changes coordinates from one coordinate reference system to another. Cf. ISO 19111:2007:2007-07, part 11.1, table 42 and annex B.4.","process using a mathematical model, based on a one-to-one relationship, that changes coordinates in a source coordinate reference system to coordinates in a target coordinate reference system, or that changes coordinates at a source coordinate epoch to coordinates at a target coordinate epoch within the same coordinate reference system"
geosrs:PassThroughOperation,geosrs:CoordinateOperation,,Coordinate operation methods,Pass Through Operation,Specification of a subset of coordinate tuples that is subject to a coordinate operation,iso19111:PassThroughOperation,,,,,,Extension,,,
geosrs:ConcatenatedOperation,geosrs:CoordinateOperation,,Coordinate operation methods,Coordinate Operation,"Ordered sequence of two or more single coordinate operations. Note: The sequence of coordinate operations is constrained by the requirement that the source coordinate reference system of step (n + 1) shall be the same as the target coordinate reference system of step (n). The source coordinate reference system of the first step and the target coordinate reference system of the last step are the source and target coordinate reference system associated with the concatenated coordinate operation. For a concatenated coordinate operation sequence of n coordinate operations:     source CRS (concatenated coordinate operation) .eq. source CRS (coordinate operation step 1)     target CRS (coordinate operation step i) .eq. source CRS (coordinate operation step i + 1); i .eq. 1 ...(n - 1)     target CRS (concatenated coordinate operation) .eq. target CRS (coordinate operation step n) Instead of a forward coordinate operation, an inverse coordinate operation may be used for one or more of the coordinate operation steps mentioned above, if the inverse coordinate operation is uniquely defined by the forward coordinate operation method.",iso19111:ConcatenatedOperation,,,,,,Extension,,,coordinate operation consisting of the sequential application of multiple coordinate operations
geosrs:SingleOperation,geosrs:CoordinateOperation,,Coordinate operation methods,Single Operation,"A non concatenated coordinate operation. Cf. ISO 19111:2007:2007-07, table 43.",iso19111:SingleOperation,ign:SingleOperation,,,,,Core Ontology,,"A non concatenated coordinate operation. Cf. ISO 19111:2007:2007-07, table 43.",
geosrs:Transformation,geosrs:Conversion,,Coordinate operation methods,Transformation,"Coordinate operation in which the two coordinate reference systems are based on different datums. Cf. ISO 19111:2007:2007-07, table 44.",iso19111:Transformation,ign:Transformation,,,transformation,Transformation,Core Ontology,,"Coordinate operation in which the two coordinate reference systems are based on different datums. Cf. ISO 19111:2007:2007-07, table 44.",coordinate operation that changes coordinates in a source coordinate reference system to coordinates in a target coordinate reference system in which the source and target coordinate reference systems are based on different datums
geosrs:Conversion,geosrs:CoordinateOperation,,Coordinate operation methods,Conversion,"Coordinate operation in which both coordinate reference systems are based on the same datum. Cf. ISO 19111:2007:2007-07, table 45 and annex B.4.2.",iso19111:Conversion,ign:Conversion,,,conversion,Conversion,Core Ontology,,"Coordinate operation in which both coordinate reference systems are based on the same datum. Cf. ISO 19111:2007:2007-07, table 45 and annex B.4.2.",coordinate operation that changes coordinates in a source coordinate reference system to coordinates in a target coordinate reference system in which both coordinate reference systems are based on the same datum
geosrs:PointMotionOperation,geosrs:SingleOperation,,Coordinate operation methods,Point Motion Operation,Mathematical operation that decribes the change of coordinate values within one coordinate reference system due to the motion of the point between one coordinate epoch and another coordinate epoch Note: In this document the motion is due to tectonic plate movement or deformation.,iso19111:PointMotionOperation,,,,,,Extension,,,mathematical operation that decribes the change of coordinate values within one coordinate reference system due to the motion of the point between one coordinate epoch and another coordinate epoch Note: In this document the motion is due to tectonic plate movement or deformation.
geosrs:OperationMethod,,,Coordinate operation methods,Operation Method,"Method used to perform an operation on coordinates. See ISO 19111:2007:2007-07, table 48 and annex B.4.5.",iso19111:OperationMethod,ign:OperationMethod,,,,,Core Ontology,,"Method used to perform an operation on coordinates. See ISO 19111:2007:2007-07, table 48 and annex B.4.5.",
,,,,,,iso19111:uFormula,,,,,,,,,
,,,,,,iso19111:uFormulaCitation,,,,,,,,,reference to a publication giving the formula(s) or procedure used by the coordinate operation method
geosrs:GeneralOperationParameter,,,Coordinate operation parameters,General Operation Parameter,Definition of a parameter or group of parameters used by a coordinate operation method.,iso19111:GeneralOperationParameter,,,,,,Core Ontology,,,definition of a parameter or group of parameters used by a coordinate operation method
geosrs:OperationParameterGroup,geosrs:GeneralOperationParameter,,Coordinate operation parameters,Operation Parameter Group,Definition of a group of related parameters used by a coordinate operation method.,iso19111:OperationParameterGroup,,,,,,Extension,,,definition of a group of related parameters used by a coordinate operation method
geosrs:OperationParameter,geosrs:GeneralOperationParameter,,Coordinate operation parameters,Operation Parameter,"Parameter used by a method to perform an operation on coordinates. Note: Most parameter values are numeric, but other types of parameter values are possible. See ISO 19111:2007:2007-07, table 52 and annex B.4.5.",iso19111:OperationParameter,ign:OperationParameter,,,,OperationParameter,Core Ontology,,"Parameter used by a method to perform an operation on coordinates. See ISO 19111:2007:2007-07, table 52 and annex B.4.5.",
geosrs:GeneralParameterValue,,,Coordinate operation parameters,General Parameter Value,Parameter value or group of parameter values,iso19111:GeneralParameterValue,,,,,,Core Ontology,,,
geosrs:ParameterValueGroup,geosrs:GeneralParameterValue,,Coordinate operation parameters,Parameter Value Group,"Group of related parameter values. Note: The same group can be repeated more than once in a coordinate operation or higher level ParameterValueGroup, if those instances contain different values of one or more ParameterValues which suitably distinguish among those groups.",iso19111:ParameterValueGroup,,,,,,Extension,,,"group of related parameter valuesNote: The same group can be repeated more than once in a coordinate operation or higher level ParameterValueGroup, if those instances contain different values of one or more ParameterValues which suitably distinguish among those groups."
