Concept,SuperClass,DisjointClass,Requirement,Label,Definition,ISO 19111,IGN 2019,Proj4RDF,GeoSPARQL,PROJJSON,Core Class?
geosrs:A4Projection,geosrs:LenticularProjection,,Lenticular Projections,A4 Projection,,,,geocrs:A4Projection,,,Extension
geosrs:AdamsProjection,geosrs:ConformalProjection,,Conformal Projections,Adams Projection,,,,geocrs:AdamsProjection,,,Extension
geosrs:AdamsWorldInASquareIIProjection,geosrs:ConformalProjection,,Conformal Projections,Adams World In A Square II Projection,,,,geocrs:AdamsWorldInASquareIIProjection,,,Extension
geosrs:AdamsWorldInASquareIProjection,geosrs:ConformalProjection,,Conformal Projections,Adams World In A Square I Projection,,,,geocrs:AdamsWorldInASquareIProjection,,,Extension
geosrs:AiryProjection,geosrs:MinimumErrorProjection,,Minimum Error Projections,Airy Projection,"An azimuthal minimum error projection for the region within the small or great circle defined by an angular distance, from the tangency point of the plane",,,geocrs:AiryProjection,,,Extension
geosrs:AitoffObliqueProjection,geosrs:PseudoAzimuthalProjection,,Pseudo Azimuthal Projections,Aitoff Oblique Projection,,,,geocrs:AitoffObliqueProjection,,,Extension
geosrs:AitoffProjection,geosrs:PseudoAzimuthalProjection,,Pseudo Azimuthal Projections,Aitoff Projection,A modified azimuthal projection whose graticule takes the form of an ellipse,,,geocrs:AitoffProjection,,aitoff,Extension
geosrs:AlbersEqualAreaProjection,geosrs:EqualAreaProjection,,Equal Area Projections,Albers Equal Area Projection,,,,geocrs:AlbersEqualAreaProjection,,aea,Extension
geosrs:AmericanPolyconicProjection,geosrs:PseudoConicalProjection,,Pseudo Conical Projections,American Polyconic Projection,,,,geocrs:AmericanPolyconicProjection,,poly,Extension
geosrs:ApianGlobularIProjection,geosrs:GlobularProjection,,Globular Projections,Apian Globular I Projection,,,,geocrs:ApianGlobularIProjection,,,Extension
geosrs:ApianIIProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Apian II Projection,,,,geocrs:ApianIIProjection,,,Extension
geosrs:ArchaicProjection,,,Archaic Projections,Archaic Projection,,,,geocrs:ArchaicProjection,,,Extension
geosrs:ArdenCloseProjection,geosrs:CylindricalProjection,,Cylindrical Projections,Arden Close Projection,,,,geocrs:ArdenCloseProjection,,,Extension
geosrs:ArmadilloProjection,geosrs:CompromiseProjection,,Compromise Projections,Armadillo Projection,,,,geocrs:ArmadilloProjection,,,Extension
geosrs:AtlantisProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Atlantis Projection,,,,geocrs:AtlantisProjection,,,Extension
geosrs:AugustEpicycloidalProjection,geosrs:ConformalProjection,,Conformal Projections,August Epicycloidal Projection,A projection in which every angle between two curves that crosss each other on a celestical body is preserved in the image of the projection,,,geocrs:AugustEpicycloidalProjection,,,Extension
geosrs:AuthaGraphProjection,geosrs:PolyhedralProjection,,Polyhedral Projections,Autha Graph Projection,,,,geocrs:AuthaGraphProjection,,,Extension
geosrs:AzimuthalEqualAreaProjection,geosrs:EqualAreaProjection,,Equal Area Projections,Azimutal Equal Area Projection,,,,geocrs:AzimuthalEqualAreaProjection,,,Extension
geosrs:AzimuthalEquidistantProjection,geosrs:EquidistantProjection,,Equidistant Projections,Azimuthal Equidistant Projection,,,,geocrs:AzimuthalEquidistantProjection,,,Extension
geosrs:AzimuthalProjection,,,Azimuthal Projections,Azimuthal Projection,,,,geocrs:AzimuthalProjection,,,Extension
geosrs:BSAMCylindricalProjection,geosrs:CylindricalStereographicProjection,,Cylindrical Projections,BSAM Cylindrical Projection,,,,geocrs:BSAMCylindricalProjection,,,Extension
geosrs:BaconGlobularProjection,geosrs:GlobularProjection,,Globular Projections,Bacon Globular Projection,,,,geocrs:BaconGlobularProjection,,,Extension
geosrs:BakerDinomicProjection,geosrs:CompromiseProjection,,Compromise Projections,Baker Dinomic Projection,,,,geocrs:BakerDinomicProjection,,,Extension
geosrs:BalthasartProjection,geosrs:CylindricalEqualArea,,Cylindrical Projections,Balthasart Projection,A cylindrical equal-area projection that uses a standard parallel of phi_s=50 degrees,,,geocrs:BalthasartProjection,,,Extension
geosrs:BaranyiIIIProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Baranyi III Projection,,,,geocrs:BaranyiIIIProjection,,,Extension
geosrs:BaranyiIIProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Baranyi II Projection,,,,geocrs:BaranyiIIProjection,,,Extension
geosrs:BaranyiIProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Baranyi I Projection,,,,geocrs:BaranyiIProjection,,,Extension
geosrs:BaranyiIVProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Baranyi IV Projection,,,,geocrs:BaranyiIVProjection,,,Extension
geosrs:BartholomewProjection,geosrs:WinkelTripelProjection,,Pseudo Azimuthal Projections,Bartholomew Projection,,,,geocrs:BartholomewProjection,,,Extension
geosrs:BehrmannProjection,geosrs:CylindricalEqualArea,,Cylindrical Projections,Behrmann Projection,A cylindrical equal-area map projection with standard parallels set at 30° north and south,,,geocrs:BehrmannProjection,,,Extension
geosrs:BerghausStarProjection,geosrs:EquidistantProjection,,Equidistant Projections,Berghaus Star Projection,,,,geocrs:BerghausStarProjection,,,Extension
geosrs:BertinProjection,geosrs:CompromiseProjection,,Compromise Projections,Bertin Projection,,,,geocrs:BertinProjection,,,Extension
geosrs:BipolarObliqueConicConformalProjection,geosrs:ConicalProjection,,Conical Projections,Bipolar Oblique Conic Conformal Projection,,,,geocrs:BipolarObliqueConicConformalProjection,,,Extension
geosrs:BoggsEumorphicProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Boggs Eumorphic Projection,,,,geocrs:BoggsEumorphicProjection,,,Extension
geosrs:BonneProjection,geosrs:PseudoConicalProjection,,Pseudo Conical Projections,Bonne Projection,,,,geocrs:BonneProjection,,bonne,Extension
geosrs:BottomleyProjection,geosrs:PseudoConicalProjection,,Pseudo Conical Projections,Bottomley Projection,,,,geocrs:BottomleyProjection,,,Extension
geosrs:BraunPerspectiveProjection,geosrs:CylindricalProjection,,Cylindrical Projections,Braun Perspective Projection,,,,geocrs:BraunPerspectiveProjection,,,Extension
geosrs:BraunStereographicProjection,geosrs:CylindricalStereographicProjection,,Cylindrical Projections,Braun Stereographic Projection,,,,geocrs:BraunStereographicProjection,,,Extension
geosrs:BreusingGeometricProjection,geosrs:AzimuthalProjection,,Azimuthal Projections,Breusing Geometric Projection,,,,geocrs:BreusingGeometricProjection,,,Extension
geosrs:BreusingHarmonicProjection,geosrs:AzimuthalProjection,,Azimuthal Projections,Breusing Harmonic Projection,,,,geocrs:BreusingHarmonicProjection,,,Extension
geosrs:BriesemeisterProjection,geosrs:LenticularProjection,,Lenticular Projections,Briesemeister Projection,,,,geocrs:BriesemeisterProjection,,,Extension
geosrs:BromleyProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Bromley Projection,,,,geocrs:BromleyProjection,,,Extension
geosrs:CabotProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Cabot Projection,,,,geocrs:CabotProjection,,,Extension
geosrs:CahillKeyesProjection,geosrs:PolyhedralProjection,,Polyhedral Projections,Cahill Keyes Projection,,,,geocrs:CahillKeyesProjection,,,Extension
geosrs:CassiniProjection,geosrs:EquidistantProjection,,Equidistant Projections,Cassini Projection,A map projection first described in an approximate form by César-François Cassini de Thury in 1745,,,geocrs:CassiniProjection,,cass,Extension
geosrs:CentralConicProjection,geosrs:ConicalProjection,,Conical Projections,Central Conic Projection,,,,geocrs:CentralConicProjection,,,Extension
geosrs:CentralCylindricalProjection,geosrs:PerspectiveProjection,,Perspective Projections,Central Cylindrical Projection,,,,geocrs:CentralCylindricalProjection,,,Extension
geosrs:ChamberlinTrimetricProjection,geosrs:CompromiseProjection,,Compromise Projections,Chamberlin Trimetric Projection,,,,geocrs:ChamberlinTrimetricProjection,,,Extension
geosrs:CiricIProjection,geosrs:LenticularProjection,,Lenticular Projections,Ciric I Projection,,,,geocrs:CiricIProjection,,,Extension
geosrs:CollignonButterflyProjection,geosrs:PolyhedralProjection,,Polyhedral Projections,Collignon Butterfly Projection,,,,geocrs:CollignonButterflyProjection,,,Extension
geosrs:CollignonProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Collignon Projection,An equal-area pseudocylindrical projection that maps the sphere onto a triangle or diamond,,,geocrs:CollignonProjection,,collg,Extension
geosrs:ColombiaUrbanProjection,,,,Colombia Urban Projection,,,,geocrs:ColombiaUrbanProjection,,col_urban,Extension
geosrs:CompactMillerProjection,geosrs:CylindricalProjection,,Cylindrical Projections,Compact Miller Projection,,,,geocrs:CompactMillerProjection,,,Extension
geosrs:CompromiseProjection,,,,Compromise Projection,,,,geocrs:CompromiseProjection,,,Extension
geosrs:ConformalProjection,,,,Conformal Projection,,,,geocrs:ConformalProjection,,,Extension
geosrs:ConicalProjection,,,,Conical Projection,,,,geocrs:ConicalProjection,,,Extension
geosrs:CordiformProjection,,,,Cordiform Projection,,,,geocrs:CordiformProjection,,,Extension
geosrs:CoxConformalProjection,geosrs:ConformalProjection,,Conformal Projections,Cox Conformal Projection,,,,geocrs:CoxConformalProjection,,,Extension
geosrs:CraigRetroazimuthalProjection,geosrs:RetroazimuthalProjection,,,Craig Retroazimuthal Projection,,,,geocrs:CraigRetroazimuthalProjection,,,Extension
geosrs:CrasterParabolicProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Craster Parabolic Projection,,,,geocrs:CrasterParabolicProjection,,,Extension
geosrs:CupolaProjection,geosrs:LenticularProjection,,Lenticular Projections,Cupola Projection,,,,geocrs:CupolaProjection,,,Extension
geosrs:CylindricalEqualArea,geosrs:EqualAreaProjection,,Equal Area Projections,Cylindrical Equal Area Projection,,,,geocrs:CylindricalEqualArea,,cea,Extension
geosrs:CylindricalProjection,,,Cylindrical Projections,Cylindrical Projection,,,,geocrs:CylindricalProjection,,,Extension
geosrs:CylindricalStereographicProjection,geosrs:CylindricalProjection,,Cylindrical Projections,Cylindrical Stereographic Projection,,,,geocrs:CylindricalStereographicProjection,,,Extension
geosrs:DeakinMinimumErrorProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Deakin Minimum Error Projection,,,,geocrs:DeakinMinimumErrorProjection,,,Extension
geosrs:DedistortProjection,geosrs:LenticularProjection,,Lenticular Projections,Dedistort Projection,,,,geocrs:DedistortProjection,,,Extension
