Concept,Type,Label,Definition,Requirement,Comment,ISO 19111,IGN 2019,Proj4RDF,GeoSPARQL,PROJJSON,OGCJSON,Module,IGN Definition,ISO Definition
geosrs:down,geosrs:AxisDirection,Down,Downwards axis direction,Coordinate System Axis,,,,geocrsaxis:down,,down,down,CS,,
geosrs:east,geosrs:AxisDirection,East,east axis direction,Coordinate System Axis,,,,geocrsaxis:east,,east,east,CS,,
geosrs:geocentricX,geosrs:AxisDirection,Geocentric X,,Coordinate System Axis,,,,geocrsaxis:geocentricX,Coordinate System Axis,,,,CS,,
geosrs:geocentricY,geosrs:AxisDirection,Geocentric Y,,Coordinate System Axis,,,,geocrsaxis:geocentricY,Coordinate System Axis,,,,CS,,
geosrs:geocentricZ,geosrs:AxisDirection,Geocentric Z,,Coordinate System Axis,,,,geocrsaxis:geocentricZ,Coordinate System Axis,,,,CS,,
geosrs:north,geosrs:AxisDirection,North,North axis direction,Coordinate System Axis,,,,geocrsaxis:north,,north,north,CS,,
geosrs:south,geosrs:AxisDirection,South,South axis direction,Coordinate System Axis,,,,geocrsaxis:south,,south,south,CS,,
geosrs:up,geosrs:AxisDirection,Up,Up axis direction,Coordinate System Axis,,,,geocrsaxis:up,,up,up,CS,,
geosrs:west,geosrs:AxisDirection,West,West axis direction,Coordinate System Axis,,,,geocrsaxis:west,,west,west,CS,,
,,,,,,,om:degree,,,,,,,
,,,,,,,om:foot-International,,,,,,,
,,,,,,,om:foot-USSurvey,,,,,,,
,,,,,,,om:kilometre,,,,,,,
,,,,,,,om:metre,,,,,,,
geosrs:GRS1980,geosrs:Ellipsoid,GRS 1980,GRS 1980 Ellipsoid,Spheroids,,,,geocrsgeod:GRS1980,,GRS80; GRS80; GRS 1980,,DATUM,,
geosrs:GRS67,geosrs:Ellipsoid,GRS 67,GRS 67 Ellipsoid,Spheroids,,,,geocrsgeod:GRS67,,GRS67; GRS 1967 ,,DATUM,,
geosrs:PZ90,geosrs:Ellipsoid,PS 90,PZ 90 Ellipsoid,Spheroids,,,,geocrsgeod:PZ90,,PZ-90,,DATUM,,
geosrs:Airy1830,geosrs:Ellipsoid,Airy 1830,Airy 1830 Ellipsoid,Spheroids,,,,geocrsgeod:Airy1830,,Airy 1830,,DATUM,,
geosrs:AiryModified1849,geosrs:Ellipsoid,Ariy Modified 1849,Airy 1849 Modified Ellipsoid,Spheroids,,,,geocrsgeod:AiryModified1849,,Airy Modified 1849,,DATUM,,
geosrs:International1924,geosrs:Ellipsoid,International 1924,International 1924 Ellipsoid,Spheroids,,,,geocrsgeod:International1924,,intl,,DATUM,,
geosrs:AustralianNationalSpheroid,geosrs:Ellipsoid,Australian National Spheroid,Australian National Spheroid,Spheroids,,,,geocrsgeod:AustralianNationalSpheroid,,aust_SA,,DATUM,,
geosrs:Everest1930,geosrs:Ellipsoid,Everest 1930,Everest 1930 Spheroid,Spheroids,,,,geocrsgeod:Everest1930,,evrst30,,DATUM,,
geosrs:Clarke1866,geosrs:Ellipsoid,Clarke 1866,Clarke 1866 Spheroid,Spheroids,,,,geocrsgeod:Clarke1866,,clrk66,,DATUM,,
geosrs:Plessis1817,geosrs:Ellipsoid,Plessis 1817,Plessis 1817 Spheroid,Spheroids,,,,geocrsgeod:Plessis1817,,Plessis 1817,,DATUM,,
geosrs:Danish1876,geosrs:Ellipsoid,Danish 1876,Danish 1876 Spheroid,Spheroids,,,,geocrsgeod:Danish1876,,Danish 1876,,DATUM,,
geosrs:Struve1860,geosrs:Ellipsoid,Struve 1860,Struve 1860 Spheroid,Spheroids,,,,geocrsgeod:Struve1860,,Struve 1860,,DATUM,,
geosrs:IAG1975,geosrs:Ellipsoid,IAG 1975,IAG 1975 Spheroid,Spheroids,,,,geocrsgeod:IAG1975,,IAG 1975,,DATUM,,
geosrs:Clarke1858,geosrs:Ellipsoid,Clarke 1858,Clarke 1858 Spheroid,Spheroids,,,,geocrsgeod:Clarke1858,,Clarke 1858,,DATUM,,
geosrs:Clarke1880,geosrs:Ellipsoid,Clarke 1880,Clarke 1880 Spheroid,Spheroids,,,,geocrsgeod:Clarke1880,,Clarke 1880,,DATUM,,
geosrs:Helmert1906,geosrs:Ellipsoid,Helmert 1906,Helmert 1906 Spheroid,Spheroids,,,,geocrsgeod:Helmert1906,,Helmert 1906,,DATUM,,
geosrs:CGCS2000,geosrs:Ellipsoid,CGCS2000,CGCS2000 Spheroid,Spheroids,,,,geocrsgeod:CGCS2000,,CGCS2000,,DATUM,,
geosrs:GSK-2011,geosrs:Ellipsoid,GSK-2011,GSK-2011 Spheroid,Spheroids,,,,geocrsgeod:GSK-2011,,GSK-2011,,DATUM,,
geosrs:Zach1812,geosrs:Ellipsoid,Zach 1812,Zach 1812 Spheroid,Spheroids,,,,geocrsgeod:Zach1812,,Zach 1812,,DATUM,,
geosrs:Clarke1880ARC,geosrs:Ellipsoid,Clarke 1880 (Arc),Clarke 1880 (Arc) Spheroid,Spheroids,,,,geocrsgeod:Clarke1880ARC,,Clarke 1880 (Arc),,DATUM,,
geosrs:Clarke1880IGN,geosrs:Ellipsoid,Clarke 1880 (Ign),Clarke 1880 (Ing) Spheroid,Spheroids,,,,geocrsgeod:Clarke1880IGN,,clrk80ign,,DATUM,,
geosrs:WGS66,geosrs:Ellipsoid,WGS 66,WGS 66 Spheroid,Spheroids,,,,geocrsgeod:WGS66,,WGS66,,DATUM,,
geosrs:WGS72,geosrs:Ellipsoid,WGS 72,WGS 72 Spheroid,Spheroids,,,,geocrsgeod:WGS72,,WGS72,,DATUM,,
geosrs:WGS84,geosrs:Ellipsoid,WGS 84,WGS 84 Spheroid,Spheroids,,,,geocrsgeod:WGS84,,WGS84,,DATUM,,
geosrs:Krassowsky1940,geosrs:Ellipsoid,Krassowsky 1940,Krassowsky 1940 Spheroid,Spheroids,,,,geocrsgeod:Krassowsky1940,,"krass""",,DATUM,,
