Concept,Domain,Range,Requirement,Label,Definition,Comment,ISO 19111,IGN 2019,Proj4RDF,GeoSPARQL,PROJJSON,OGCJSON,Core Property?,IGN Definition,ISO Definition
,,,,,,,iso19111:affineCS,,,,,,,,
geosrs:axis,geosrs:CoordinateSystem,geosrs:Axis,Coordinate System Properties,Axis,The property relates a coordinate system to one of its axis,,iso19111:axis,ign:axis,geocrs:axis,,axis,axis,CS,"An axis used by some ellipsoidal or cartesian coordinate system. Cf. ISO 19111:2007:2007-07, table 17, association role axis.",
geosrs:axisDirection,geosrs:Axis,geosrs:AxisDirection,Coordinate System Properties,Axis direction,"The direction of an axis. Cf. ISO 19111:2007:2007-07, table 27, attribute coordinate system axis direction.",,,ign:axisDirection,geocrs:direction,,direction,axisDirection,CS,,"The direction of an axis. Cf. ISO 19111:2007:2007-07, table 27, attribute coordinate system axis direction."
,,,,,,,iso19111:axisUnitID,,,,,,,,
geosrs:baseCRS,geosrs:ProjectedCRS,geosrs:GeodeticCRS,Coordinate Reference System Properties,Base CRS,"The geodetic coordinate reference system on which a projected coordinate reference system is based. Cf. ISO 19111:2007:2007-07, table 11, association role baseCRS.",,iso19111:baseCRS,ign:baseCRS,,,base_crs,baseCRS,SRS,"The geodetic coordinate reference system on which a projected coordinate reference system is based. Cf. ISO 19111:2007:2007-07, table 11, association role baseCRS.",
,,,,,,,iso19111:calendar,,,,,,,,
,,,,,,,iso19111:cartesianCS,ign:cartesianCS,,,,,,"The cartesian coordinate system used by some geodetic or projected coordinate reference system. Cf. ISO 19111:2007:2007-07, tables 10 et 11, association roles coordinateSystem.",
geosrs:conversion,geosrs:CRS,geosrs:Conversion,Coordinate Reference System Properties,Defined by conversion,"The conversion used to define a projected coordinate reference system. Cf. ISO 19111:2007:2007-07, table 7, named association Definition.",,,ign:conversion,,,conversion,derivingConversion,SRS,"The conversion used to define a projected coordinate reference system. Cf. ISO 19111:2007:2007-07, table 7, named association Definition.",
,,,,,,,iso19111:componentReferenceSystem,,,,,,,,
,,,,,,,iso19111:conventionalRS,,,,,,,,
,,,,,,,iso19111:coordinateOperationAccuracy,,,,,,,,
geosrs:coordinateSystem,geosrs:CRS,geosrs:CoordinateSystem,Coordinate Reference System Properties,Coordinate system,The property relates a coordinate reference system to its coordinate system,,iso19111:coordinateSystem,ign:coordinateSystem,geocrs:coordinateSystem,,coordinate_system,coordinateSystem,SRS,"The coordinate system used by a coordinate reference system. Cf. ISO 19111:2007:2007-07, table 5, named association CoordinateSystem.",
,,,,,,,iso19111:coordinateType,,,,,,,,
geosrs:cylindricalCS,geosrs:CRS,geosrs:CS,Coordinate Reference System Properties,Cylindrical Coordinate System,Links a coordinate reference system to a cylindrical coordinate system,,iso19111:cylindricalCS,,,,,,,,
geosrs:datum,geosrs:CRS,geosrs:Datum,Coordinate Reference System Properties,Datum,The property relates a coordinate reference system to a datum,,iso19111:datum,ign:datum,geocrs:datum,,datum,datum,SRS,"The datum used by a single coordinate reference system. Cf. ISO 19111:2007:2007-07, table 5, named association DefiningDatum.",
geosrs:datumDefiningParameter,geosrs:ParametricDatum,geosrs:DefiningParameter,Datum Properties,Datum defining parameter,Parameter used to define the parametric datum,,iso19111:datumDefiningParameter,,,,,,DATUM,,parameter used to define the parametric datum
geosrs:datumEnsemble,geosrs:SingleCRS,geosrs:DatumEnsemble,Coordinate Reference System Properties,Datum Ensemble,Indicates a single CRS referring to a collection of one or more datums (Datum Ensemble),,iso19111:datumEnsemble,,,,datum_ensemble,datumEnsemble,SRS,,
geosrs:derivingConversion,geosrs:DerivedCRS,geosrs:Conversion,Coordinate Operation Properties,Deriving conversion,Relates a derived CRS to a conversion,,iso19111:derivingConversion,,,,,derivingConversion,CO,,
geosrs:domainOfValidity,geosrs:CRS,geosrs:AreaOfUse,Coordinate Reference System Properties,Domain of validity,"Geographic area or time interval in which the referring object is valid. Cf. ISO 19111:2007:2007-07, tables 4, 33 and 42, attribute domainOfValidity.",,iso19111:domain,ign:domainOfValidity,geocrs:area_of_use,,area_of_use,domain domainOfValidity,SRS,"Geographic area or time interval in which the referring object is valid. Cf. ISO 19111:2007:2007-07, tables 4, 33 and 42, attribute domainOfValidity.",
geosrs:ellipsoid,geosrs:Datum,geosrs:Ellipsoid,Datum Properties,Ellipsoid,The properties relates a datum to its ellipsoid definition,,iso19111:ellipsoid,ign:ellipsoid,,,ellipsoid,ellipsoid,DATUM,"The ellipsoid used by a geodetic datum. Cf. ISO 19111:2007:2007-07, table 34, association role ellipsoid.",
,,,,,,,iso19111:ellipsoidalCS,ign:ellipsoidalCS,,,,,,"The ellipsoidal coordinate system used by a geodetic coordinate reference system. Cf. ISO 19111:2007:2007-07, table 10, named association CoordinateSystem.",
