Task;ExecutionTime (seconds);Items Processed;TimePerItem (seconds);Comment
Create Collections;1.963120460510254;;;
Graph Analysis;6.207640886306763;;;
Class Tree Generation;16.209640502929688;42;0.3859438214983259;
Void stats generation;0.06553864479064941;42;0.001560443923586891;
HTML Generation;489.0548267364502;25193;0.019412329882763077;
Finalize Classtree;0.023691415786743164;;;
NonNS Pages;0.15654540061950684;147;0.0010649346980918831;
Index Page Creation;11.315405130386353;;;
IIIF Collection Generation;0.1951606273651123;;;
Solid API Generation;7.4065468311309814;;;
Total;532.5981166362762;;;
